rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,1.39251380763421,0.131099015463053,4.02495530972195,3.11293016828157,5.20418524332075,0.464811792224662,1.59171458763283,1.18012641265183,2.14685079608555,1031
2,1.6430565363234,0.122259033536345,5.1709505805202,4.06914634335368,6.57109075220549,0.596582497219093,1.81590233277106,1.35496594361865,2.43364144884476,1008
3,1.56833873576536,0.12356752959905,4.79866971006209,3.76651747588121,6.11366630679973,0.683646139818971,1.98108790308537,1.49616334035889,2.62318235842469,1025
4,1.52251846608148,0.129747348888972,4.58375470145433,3.55451396488357,5.91102113275645,0.561228191375208,1.75282398210703,1.30562423641642,2.35319767093357,974
5,1.7556731301565,0.116814314225536,5.78734206558672,4.6030599156184,7.27631810102345,0.382660641223794,1.46618038445201,1.06775658204298,2.01327245919547,997
6,1.54607316102341,0.126082689140221,4.69300527592579,3.66546656915438,6.00859347762329,0.674285877852434,1.96263091720335,1.46645310833469,2.62669163798678,995
7,1.73629045873903,0.119645104348441,5.67624804344807,4.48972010901795,7.1763475380196,0.492078953820965,1.63571325991897,1.20025359743253,2.22916046608653,962
8,1.48053107089814,0.130536129666498,4.39527926612173,3.40309379665634,5.6767403373309,0.529422991274198,1.69795229261801,1.26459293127395,2.27981820608659,975
9,1.32164979400751,0.132877125254498,3.74960234867948,2.88988125816318,4.86508493506719,0.643974839976777,1.90403408877403,1.43163112531094,2.53231837944719,1075
10,1.76671935104241,0.114118863999715,5.85162471089446,4.67884127118404,7.3183743094763,0.659286956676771,1.93341323538326,1.44546435774624,2.58608018850326,1025
11,1.68279763718471,0.117817662699032,5.38058786711476,4.27113355494516,6.77823004673387,0.503360447863662,1.65427103219149,1.2178595517415,2.24706752435832,1030
12,1.38234597033141,0.135400280497583,3.9842375754298,3.05557043530162,5.19515075616306,0.485217842098641,1.62452886107727,1.18319472158205,2.23048157022227,988
13,1.80676614198874,0.110563439188241,6.09071902946921,4.90407152310079,7.56450188811325,0.500637236191971,1.6497722303835,1.23646828396605,2.20122784178043,1062
14,1.65095123772385,0.122309560230995,5.21193525934215,4.10099203708065,6.62382879604692,0.653556607345389,1.92236578524716,1.42866950601222,2.58666556312523,997
15,1.92989970825025,0.109651718374345,6.88881931519194,5.55659932749288,8.54044511047614,0.59391439960591,1.81106378581938,1.34380571787617,2.44079333245451,996
16,1.5937819711653,0.121201895767218,4.92232987953885,3.88153471528195,6.24220397864997,0.471996876597174,1.60319237630316,1.17058272221486,2.19568061843031,1050
17,1.31355218217634,0.139905823726218,3.71936212637038,2.82735545464906,4.89278933935651,0.77773489266968,2.17653658870786,1.65185288456964,2.86787737953933,1002
18,1.85362946225919,0.114688489573361,6.38294418719801,5.0979788295803,7.99179005226255,0.697743115689262,2.00921302527496,1.49260400694938,2.7046269219023,965
19,1.59887597638629,0.122011907308788,4.94746822672123,3.89516886380301,6.28405152903122,0.794823072016213,2.21404923488114,1.68194146259075,2.91449739691121,1052
20,1.66281995774381,0.118461596637364,5.27416280990518,4.18137230288729,6.65255120338819,0.830113135092422,2.29357820976909,1.75175387982955,3.00299092520889,1045
21,1.57363172170977,0.12106928415759,4.82413633918891,3.80509243908206,6.11609094697765,0.504695086372661,1.65648036001442,1.22444403920907,2.24095760626673,1037
22,1.73158096196458,0.118101459147151,5.6495786206693,4.48216574803332,7.12105271991077,0.572657977762807,1.77297331773999,1.32231626098346,2.37721827838679,1014
23,1.71304855354269,0.113818659572822,5.54584253104773,4.43695388922543,6.93186590328687,0.490677136371309,1.63342189494152,1.2144382819436,2.19695568440442,1061
24,1.60554016666558,0.121258650223115,4.98054920291378,3.92700708360148,6.31673685189677,0.468660782776897,1.59785288759366,1.17766469201537,2.16796331562098,1031
25,1.55438774781932,0.125210206439942,4.73218834540767,3.70239627791618,6.04840888318308,0.707344544885089,2.02859725109739,1.53867833345028,2.67450754176285,1027
26,1.66682482128315,0.120799001469955,5.29532746473216,4.1789629974919,6.70991654522326,0.407590631514747,1.50319167589916,1.10131286113787,2.05171962866024,1010
27,1.80927633758075,0.11186592047297,6.1060271306551,4.90386251202199,7.60289817034923,0.690845650589121,1.99540223303713,1.49953934796312,2.65523547415941,1041
28,1.64656898595957,0.119885769102351,5.18914521917533,4.10250267597124,6.56361012593741,0.598344621386538,1.8191049990765,1.36486399489914,2.42452215754262,1027
29,1.53276800427528,0.128824384145273,4.63097766370662,3.59763559679348,5.96112461775285,0.876118361329207,2.40155960406399,1.8397308687549,3.13496317848671,996
30,1.61211617471405,0.115972884607264,5.01340926014207,3.99408093007155,6.29288010176297,0.486163144743775,1.62606525857264,1.20613363096566,2.19220172396652,1087
31,1.8571512032237,0.112164299329634,6.4054628924653,5.14133727666741,7.9804052251062,0.496675350852331,1.64324895274196,1.21880185496381,2.21550952658152,1013
32,1.43156247867496,0.131304461219135,4.18523342376929,3.23558732137269,5.41360101633864,0.60708886146987,1.83508143903984,1.36493091301863,2.46717533890492,1015
33,1.65903130759591,0.116965052371123,5.25421865676112,4.17779676347736,6.607983886243,0.298590585624943,1.34795763725142,0.988798499971364,1.83757336998088,1049
34,1.66375591605556,0.119211927178806,5.27910151727623,4.17913727735524,6.66858037440325,0.673782443368239,1.9616431097889,1.48219261123687,2.59618329022105,1029
35,1.74144028583258,0.118923790319948,5.70555513787597,4.51928565262887,7.20320907628544,0.695409013616947,2.00452878586206,1.50120139696301,2.67661331882483,975
36,1.47195081661566,0.123871441967432,4.35772798253603,3.41838169895669,5.55519975302152,0.67904612435651,1.97199579604768,1.4860345170903,2.61687556709252,1087
37,1.67739611577579,0.11777786175026,5.3516028586032,4.24845653427635,6.74119010637076,0.646143025698064,1.90816686699449,1.43231623092265,2.54210677341143,1046
38,1.60963487148332,0.120472609993773,5.00098489223462,3.94919947877208,6.33289101418985,0.191010154215161,1.21047174340942,0.865610432040224,1.69272664394664,1033
39,1.70678848541198,0.115136498375075,5.51123361905704,4.39789094484192,6.90642318892616,0.368417087064272,1.44544478958926,1.04864806675008,1.99238496307519,1012
40,1.58175469252412,0.123618013204182,4.86348224435086,3.81701169927726,6.19685277506349,0.534188894947841,1.70606388386456,1.28135274804151,2.27154776877471,1006
41,1.78840934328349,0.111707492353192,5.979932876796,4.80408540266913,7.44358066389031,0.716540984670588,2.04733917094427,1.53008218880108,2.73945916863929,1056
42,1.58958645014707,0.121950726575219,4.90172140294882,3.8596149251293,6.22519945077724,0.551638867989341,1.73609591968989,1.28044527494478,2.35389133869378,1010
43,1.72222704675929,0.118807351828661,5.59697932947801,4.4342962227431,7.06452073588027,0.806845818391781,2.24082884696318,1.68873492313902,2.97341746924303,980
44,1.61774648405495,0.119706551791951,5.04171591797161,3.98734642725906,6.37489113656007,0.47865506218011,1.61390234357893,1.19248837686777,2.18423996840212,1054
45,1.70084962723162,0.115114585653466,5.47860018278478,4.37203766468554,6.86523361984081,0.385638758093355,1.47055334935699,1.07370810627689,2.01407360218568,1048
46,1.82101330289676,0.111908897255126,6.17811558157867,4.9613401448064,7.69330685365345,0.478618291707267,1.61384300071767,1.17754895008467,2.21178850423003,1014
47,1.63356424456879,0.122213634047972,5.12209863423554,4.03106223621804,6.50843199172538,0.556929663745722,1.74530559037427,1.27964043288013,2.38042775573739,989
48,1.49535722939878,0.129601039193491,4.46092984353176,3.46026044798425,5.75098186048534,0.572791745811689,1.77321050078483,1.31915173473235,2.38355861369619,990
49,1.32896897685625,0.134002587563078,3.77714705327924,2.9046959817862,4.91164650330217,0.499314205475403,1.64759097429994,1.21403679495929,2.2359750790631,1030
50,1.80037072579376,0.109960490566469,6.05189064054711,4.87856990450421,7.50740094783245,0.740459496437425,2.09689881069499,1.59861571626209,2.7504950549186,1082
51,1.75248997838875,0.114720124388851,5.76894936636686,4.60730305995189,7.22348331738614,0.645381613257576,1.9067145179919,1.44037617324669,2.52403526290381,1028
52,1.49557492332403,0.128649654238688,4.46190106657048,3.46747351251299,5.74151786769797,0.658419453841125,1.93173672121462,1.45866405931771,2.55823589828798,1008
53,1.43448277234572,0.130300544177794,4.19747339790824,3.25144137684255,5.41876075380969,0.459773792086454,1.58371569544893,1.17424286534071,2.13597670298259,1033
54,1.54070541827424,0.125148776065567,4.66788191906499,3.65252359461896,5.96549783892824,0.568715024883403,1.7659963314949,1.30264521346936,2.39416151888911,1025
55,1.38236295635092,0.133158390908256,3.98430525234177,3.06907835347197,5.17246108294355,0.534705297549972,1.70694512721218,1.26413899705784,2.30485862242576,1010
56,1.67162606303165,0.117748052882771,5.32081274356311,4.22426009543341,6.70201351537726,0.394933973191236,1.48428618500535,1.08773679757871,2.02540309742378,1030
57,1.71440520074777,0.115862983843296,5.55337138866436,4.42521084217344,6.9691444951104,0.433017543682617,1.54190327112496,1.14061729158161,2.08436757451679,1036
58,1.44210614283692,0.131345763440171,4.2295945729945,3.26961806035359,5.47142507830712,0.213392104704196,1.23786993072022,0.881008454001669,1.73928179510792,988
59,1.79101595303432,0.112337801976528,5.99554056087562,4.8106774060387,7.47223386294458,0.308838882558,1.36184293617626,0.968977910388405,1.91399222100923,1042
60,1.42309803133748,0.130221465835446,4.14995724316397,3.21513275200813,5.35658912041263,0.637595831793382,1.89192689673403,1.44489040980905,2.47727257256743,1077
61,1.74122841722439,0.11534319403622,5.70434643789731,4.55014868773311,7.15131977363206,0.30967978793044,1.36298859884715,0.978223702162638,1.89909313838979,1012
62,1.82732600545554,0.113201553531678,6.21723954667142,4.98012523115903,7.7616657787738,0.507822416949958,1.6616688304975,1.2278737599321,2.24871920253399,1022
63,1.66642124875619,0.1184754031896,5.29319084721521,4.19634423262968,6.67673283978546,0.321149324500137,1.37871144092015,0.996783131419129,1.90697974053579,1019
64,1.58689796849583,0.12279791412526,4.88856091369139,3.84286614238259,6.21880308119563,0.629341174083024,1.87637396815319,1.4134328303903,2.49094204737748,1034
65,1.76295790269555,0.114111397500451,5.82965547078279,4.66134332315966,7.29079163492967,0.650689614652592,1.91686226962726,1.4476790329923,2.53810470206631,1036
66,1.46038764104145,0.129429992968021,4.30762901854176,3.34246820064543,5.55148670009784,0.452825282467973,1.57274937561833,1.14773361299927,2.15515218034258,1015
67,1.5982812977486,0.122010042250495,4.94452694770072,3.89286740884678,6.28029269144339,0.617706349563327,1.85466919674947,1.39137140525148,2.47223553422789,1028
68,1.56151648938993,0.121830480305188,4.76604342185775,3.75366665062261,6.05146168087831,0.397919236531564,1.488723790555,1.07946724701466,2.05314105702954,1037
69,1.50619054615663,0.124951559323329,4.50951922644308,3.52997218062292,5.76088496257532,0.63171145149442,1.88082677008842,1.41801713684991,2.49468729760188,1045
70,1.81568593484905,0.10946774339297,6.14529000064458,4.95864788791044,7.61590458642874,0.426934143553576,1.53255172998966,1.13374596121076,2.0716411660563,1054
71,1.52397761883969,0.126894543197525,4.5904479818416,3.57966379624019,5.88664575039878,0.664425615530692,1.94337395688,1.46446675125673,2.57889251021811,1000
72,1.55888603410506,0.120171615437885,4.75352303213286,3.7559978761208,6.01597284191084,0.611373532295178,1.84296102761067,1.3756176146469,2.46907666282218,1053
73,1.59179851902186,0.122800695270904,4.91257634981588,3.86172347142176,6.24938750052066,0.727445275497751,2.06978611426717,1.56492662789211,2.7375178378705,1027
74,1.85466937756631,0.110280950415858,6.38958536109348,5.14755933377581,7.93129295641417,0.585039933823799,1.79506266792491,1.34745161177018,2.39136600797451,1052
75,1.60439891572923,0.126390235031697,4.97486838870628,3.88327397985602,6.37331169866789,0.458624672331444,1.58189686168602,1.15002575382886,2.17594925390206,969
76,1.61029117002206,0.11815835100043,5.00426810857887,3.96975769006625,6.30836974387765,0.256320377549088,1.29216664281368,0.938470178690637,1.77916642501093,1075
77,1.57595383123449,0.122711027822025,4.83535152854016,3.80168593785498,6.15006730875505,0.522161128844972,1.68566665893828,1.25464444886477,2.26476280800284,1041
78,1.52490240275462,0.123275179569843,4.59469511783635,3.60848310172212,5.85044259062597,0.389868385041631,1.47678641390888,1.08944285779099,2.00184717969326,1048
79,1.61416112093248,0.119698109206879,5.02367190214916,3.97314168382624,6.35197065414963,0.476450651506687,1.61034855846691,1.19012670548664,2.1789465506499,1041
80,1.54651500734441,0.126983630446821,4.6950793212123,3.66061682649457,6.02187305508963,0.461279566225951,1.58610220991241,1.15614594034804,2.17595385884563,1001
81,1.54870381597321,0.126105175497527,4.70536720634198,3.6749598731482,6.02468633965019,0.46749673773537,1.59599399698886,1.16777605712802,2.18123742379935,988
82,1.74763029055138,0.1167670994833,5.74098208446748,4.56660929516687,7.21736263469244,0.446965565154512,1.56356045739664,1.14069012676767,2.1431949366143,984
83,1.55101792767909,0.123423351267501,4.7162685602852,3.70288632857663,6.00698675546023,0.546003105254589,1.72633921406495,1.28893728685881,2.31217384461069,1026
84,1.4369634917698,0.130286322947646,4.20789907794534,3.25960815764921,5.43206845541303,0.270582615907994,1.31072787923235,0.932599554678479,1.84217069885824,1001
85,1.71448479252504,0.113839897110551,5.55381340895336,4.44314604483588,6.94211783052238,0.460837035006738,1.58540046545103,1.17240461222626,2.14387985993974,1069
86,1.63507015366971,0.11982526680957,5.12981785995198,4.05607982284991,6.48779916214585,0.641071536875936,1.89851411765202,1.44443368828304,2.49534186592424,1041
87,1.59102161218409,0.118791266623586,4.90876121785162,3.88916704683369,6.19565485455337,0.498221049563576,1.64579088455474,1.19953219969276,2.25806996792353,1077
88,1.43218645585322,0.132389155702768,4.18784572883605,3.2307311657806,5.42850857858142,0.600943471533374,1.82383872883328,1.3694644564941,2.42896972828921,1029
89,1.52176575138688,0.124132763763476,4.58030574013887,3.59114109267733,5.84193161219079,0.436370205783714,1.54708142723915,1.1399332377942,2.09965010507083,1032
90,1.63172953878486,0.122216419708282,5.11270970583974,4.02365123507479,6.49653735103162,0.588271158944381,1.80087230057122,1.32466762697577,2.44826775933886,990
91,1.47930518702077,0.128522584285335,4.38989446537745,3.4123648339288,5.64745399599135,0.598252493935522,1.81893741728936,1.36134305412042,2.4303450316959,1023
92,1.59440423387204,0.12452460262292,4.92539381504072,3.85873919824606,6.28689916236584,0.590765373163667,1.80536966823807,1.33968272591958,2.43293398946886,1007
93,1.73884286389298,0.113970574571233,5.6907546336815,4.55153547212975,7.11511280073889,0.783032884050998,2.18809846110222,1.67944504164378,2.85080771133291,1054
94,1.46380297779381,0.129405718424158,4.32236617409364,3.35406294473268,5.57021428959437,0.458485268717626,1.58167635491689,1.15748128498818,2.16133092098221,1014
95,1.74089828860407,0.115353246814504,5.70246358068753,4.54855717986175,7.14910016588074,0.447390194288572,1.56422453170239,1.14186073856512,2.14281681026554,995
96,1.6777047333007,0.11781581158466,5.35325471191403,4.24945179746763,6.7437724620638,0.540316484623774,1.71655003791988,1.27123980221067,2.3178506742463,1049
97,1.56098945911323,0.124358625151231,4.76353223446838,3.73314496534892,6.07831722567421,0.589018266030745,1.80221824774935,1.34155920320948,2.42105648766778,1018
98,1.66986053511252,0.121605447646026,5.31142698795672,4.18504826781265,6.74096326806281,0.553674244980637,1.7396331279345,1.29852763775354,2.33058067600528,991
99,1.72316529355433,0.116660340267451,5.60223314169663,4.45717531616241,7.04145875979281,0.446234814168009,1.56241830141657,1.13650086527389,2.14795344481604,1009
100,1.59322790211531,0.118814659515121,4.91960332431845,3.89757844452662,6.20962405583724,0.432241665698562,1.54070740630594,1.13621591301227,2.08919738287484,1072
101,1.6869900712471,0.121728690170027,5.40319297907534,4.25632547127228,6.85908410110433,0.556943509796626,1.74532975613161,1.27981212510095,2.38017432238201,972
102,1.56021709713612,0.121795193242239,4.75985448375398,3.74905161335361,6.04318559547554,0.636184909978331,1.8892594180474,1.42753938546671,2.50031710859863,1063
103,1.84065674053209,0.109636584479646,6.30067481108589,5.08234608920473,7.81105858953108,0.494745934829049,1.64008149853336,1.21946855154095,2.20577014342227,1061
104,1.48264374432137,0.131576344704232,4.40457487164684,3.40334525854977,5.70035606913699,0.500366579374829,1.64932576870429,1.21896059067573,2.23163530644088,994
105,1.54851495737118,0.126997238474974,4.70447864117858,3.66784737560452,6.03408948597752,0.49911596979629,1.64726439535511,1.22437685718826,2.21621306567004,1004
106,1.51094062041251,0.124966516131044,4.5309907328798,3.54667572584671,5.78848437477081,0.269013258008441,1.30867249132239,0.939541791805549,1.82282864315459,1008
107,1.56681889225164,0.123542812926539,4.79138202250396,3.76097949838851,6.1040858359932,0.266050556234127,1.30480102284546,0.937095750808105,1.81678948789429,1038
108,1.8590764125674,0.109177418190354,6.41780662780134,5.18148971653124,7.949111966862,0.889830849118907,2.43471778179881,1.85372628043449,3.19780257720569,1048
109,1.82571870920238,0.109531965168197,6.20725462735438,5.00801686957169,7.69366617810687,0.481288733889779,1.61815843463659,1.19514304789681,2.19089817256051,1042
110,1.58024492872974,0.123590532681372,4.85614507503369,3.81145854405667,6.18717079490379,0.703216435663372,2.0202402412705,1.51657759028019,2.69117166085425,1019
111,1.66985650827859,0.117770835016701,5.31140559976536,4.21660336110757,6.69046315938255,0.696446576485811,2.00660968984751,1.52368002314397,2.64260368727659,1025
112,1.57180035562539,0.120228649171729,4.81530966441427,3.80439331077807,6.09485015613678,0.211861131833897,1.23597623540728,0.879781595834157,1.73638237231269,1061
113,1.44230660420913,0.130321530100301,4.2304425283148,3.27684509687512,5.46154714558866,0.55160651134657,1.7360397463632,1.30458296011862,2.31018961084604,1047
114,1.93935572927406,0.106898915139807,6.95426909502341,5.63973853624543,8.57519516821323,0.661255242539554,1.93722249294548,1.46559764911476,2.56061476998182,1027
115,1.70833650098913,0.122656969157573,5.51977170138584,4.34025568072917,7.01983520710495,0.751298726555621,2.11975120688773,1.60556581364405,2.7986054143142,961
116,1.67770229727114,0.119311945530405,5.35324167124319,4.23699876898947,6.76356023524862,0.474687217750255,1.60751131783749,1.17250181657635,2.20391354660842,996
117,1.47576168625883,0.127551413779735,4.37436639909993,3.40677300049679,5.61677616641443,0.60578465896934,1.83268968124564,1.37625367737898,2.44050317390674,1041
