rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,1.43020491660771,0.123696084744098,4.1795555645258,3.2797429337917,5.32623594885319,0.798004458844654,2.22110419828794,1.77617423426446,2.77748869704511,1155
2,1.49408357869042,0.118354101690361,4.45525179377021,3.53288141182037,5.61843612397539,1.02381064271004,2.78378257875261,2.26724382231897,3.4180026733253,1228
3,1.4968464519187,0.115412200646555,4.4675781098598,3.56314184104762,5.60158844583916,0.821593418100945,2.27412057698153,1.83561958412776,2.81737264265908,1227
4,1.70684874653468,0.113154779977738,5.51156574218934,4.41527205646036,6.88006458991069,0.940759717508942,2.56192701999559,2.06348571761574,3.18076834734154,1109
5,1.51597121115232,0.116971444494917,4.55384172169868,3.62085937011259,5.72722448086647,0.957283750534134,2.60461208011767,2.11776734163001,3.20337553353399,1208
6,1.65202295534234,0.11035036478635,5.21752397641436,4.20275479848922,6.47731256038169,0.867029662334385,2.37983144163856,1.93562780878305,2.92597454165127,1219
7,1.68141451021813,0.109883136887452,5.37315097520817,4.3320788009737,6.66441048946095,0.850592542513972,2.34103360296734,1.88935149147869,2.90069812575372,1204
8,1.52558459653552,0.116257061381929,4.59783065967287,3.66095829830045,5.77445713731343,0.798744556574367,2.22274864091161,1.7932561512227,2.7551064120459,1222
9,1.54441963644573,0.114931333483705,4.68525168849917,3.7402720975008,5.86898033414523,0.748981225091645,2.11484436836138,1.69654576476949,2.6362782515316,1222
10,1.43029057578929,0.12038245635236,4.17991359716896,3.30139562907109,5.29220961157993,0.832109584446411,2.29816179643118,1.85142141928648,2.85269878999847,1200
11,1.39614933983053,0.123509556766271,4.0396147957095,3.17108898352273,5.14602011564718,0.641157023321447,1.898676421813,1.50105486485629,2.40162584269946,1181
12,1.40370023603965,0.124460327474743,4.07023295956837,3.18917568256672,5.19469543045787,0.962164549132704,2.61735574143178,2.12281171700507,3.2271119583186,1222
13,1.68252678446319,0.108741052402436,5.37913071759295,4.34661872442801,6.65690945339581,0.859081962106915,2.36099221816518,1.91176874676247,2.91577329301801,1215
14,1.48070064073673,0.121408507965871,4.39602463611183,3.46510985979183,5.57703316294368,0.825712209001082,2.28350652021968,1.83605085112439,2.8400095916148,1173
15,1.70717217215676,0.110069212792015,5.51334861206552,4.44349166880676,6.84079439859228,0.986201441419024,2.68103105196473,2.17316356460107,3.30758697535893,1196
16,1.87934408668589,0.104978344770708,6.54920774052166,5.33127441462627,8.04537877675831,0.760264357635375,2.13884156486551,1.70732338054063,2.67942399883714,1132
17,1.54128007935005,0.116361066570361,4.67056514000781,3.7181141085475,5.86700087469291,0.932309781842678,2.54037010702486,2.06517549745006,3.12490647338875,1201
18,1.81219649773608,0.103545351829041,6.12388376721955,4.99906721177286,7.50178999516101,0.602591697136874,1.82684730524804,1.4503607895067,2.30106267408617,1185
19,1.72629476822746,0.105118493323786,5.61979265011402,4.57344297379309,6.90553476040881,0.800166242147895,2.22591093795138,1.781384093488,2.78136507550722,1235
20,1.71178637662525,0.106619845801831,5.538847112274,4.49432423156528,6.82612685521828,0.740916446069537,2.0978572067878,1.67330943926264,2.63012014204071,1208
21,1.60940448954793,0.111962012427692,4.99983288836185,4.01470141617249,6.22669691221459,0.706831846555251,2.02755745924739,1.6125426861905,2.54938321059989,1200
22,1.69403581152892,0.110545177846781,5.44139690291643,4.38141286497209,6.75782017526375,0.677934823319616,1.96980553232137,1.56604729010956,2.47766070646081,1150
23,1.64374288794894,0.110262146967918,5.17450088909743,4.16882012043198,6.4227907843852,0.655987672575076,1.92704486713859,1.53528114115298,2.4187764836194,1219
24,1.41703048406274,0.121929686295798,4.12485341774336,3.24804309467608,5.23835898167659,0.6829782220637,1.97976514109743,1.58015297517513,2.48043706874022,1194
25,1.75767061460463,0.108531575330544,5.79891374463566,4.68774959012038,7.17346350764885,0.63480551155334,1.88665517314034,1.48559873098886,2.39598194861672,1142
26,1.63098119975997,0.114050889231031,5.10888509687453,4.0855059019983,6.38861075204916,0.938399206021474,2.55588669376929,2.06454449100046,3.1641637270899,1202
27,1.67939874552061,0.109263282938079,5.36233087620847,4.32861074373304,6.64291481223382,0.669317281523946,1.95290358204634,1.55703135324463,2.44942556411722,1218
