p_U,UonY,EonC,IRR_E,risk_win,scenario_id,scenario_name,missing_gamma1,bias_gamma_1,percent_bias_g1,coverage_irr_E,bias_gamma_2,percent_bias_g2,coverage_irr_C
0.001,0.25,0.2,2,10,17,Scen_17_pU0.001_UonY0.25_EonC0.2_IRRE2_10d,0,-0.0127996422584714,1.84659804114495,95.4,-0.130148698073107,18.7764881288227,88.8
0.005,0.25,0.2,2,10,18,Scen_18_pU0.005_UonY0.25_EonC0.2_IRRE2_10d,0,0.0081739358171774,1.17924966679865,94.8,-0.344091262070879,49.6418757402882,34.3
0.001,2,0.2,2,10,19,Scen_19_pU0.001_UonY2_EonC0.2_IRRE2_10d,0,-0.0180646891769883,2.60618374908416,96.3,0.122287080213163,17.6422964188321,81.2
0.005,2,0.2,2,10,20,Scen_20_pU0.005_UonY2_EonC0.2_IRRE2_10d,0,-0.0148122061016674,2.13694962875009,95.7,0.187209887640985,27.008677650503,41.8
0.001,5,0.2,2,10,21,Scen_21_pU0.001_UonY5_EonC0.2_IRRE2_10d,0,-0.0363608826676182,5.24576651069182,95.6,0.352397811394249,50.8402574918607,8.9
0.005,5,0.2,2,10,22,Scen_22_pU0.005_UonY5_EonC0.2_IRRE2_10d,0,-0.0371864883336353,5.36487623070109,94.9,0.382614367298866,55.1995850274943,0
0.001,15,0.2,2,10,23,Scen_23_pU0.001_UonY15_EonC0.2_IRRE2_10d,0,-0.0438482051353443,6.32595881006432,94.4,0.633255917255054,91.3595171437458,0
0.005,15,0.2,2,10,24,Scen_24_pU0.005_UonY15_EonC0.2_IRRE2_10d,0,-0.0464760472200206,6.70507628444451,92.3,0.514082448482717,74.1664199034071,0
0.001,0.25,2,2,10,25,Scen_25_pU0.001_UonY0.25_EonC2_IRRE2_10d,0,-0.00931462280066264,1.34381601222673,95.6,-0.131919877314717,19.0320152796623,86.8
0.005,0.25,2,2,10,26,Scen_26_pU0.005_UonY0.25_EonC2_IRRE2_10d,0,0.00263302288250744,0.379864905514065,94.7,-0.341915768850381,49.3280184122182,24.9
0.001,2,2,2,10,27,Scen_27_pU0.001_UonY2_EonC2_IRRE2_10d,0,-0.0162405163986271,2.34301124697752,95.7,0.121179812952041,17.4825515201761,78.9
0.005,2,2,2,10,28,Scen_28_pU0.005_UonY2_EonC2_IRRE2_10d,0,-0.0176612572976955,2.54798083192493,94.8,0.190800080172625,27.5266329466263,33.3
0.001,5,2,2,10,29,Scen_29_pU0.001_UonY5_EonC2_IRRE2_10d,0,-0.0246046472772136,3.54970026096582,95.8,0.350264809569993,50.5325303764546,4
0.005,5,2,2,10,30,Scen_30_pU0.005_UonY5_EonC2_IRRE2_10d,0,-0.0358344403814589,5.1698169431362,95,0.390107123644797,56.2805612697806,0
0.001,15,2,2,10,31,Scen_31_pU0.001_UonY15_EonC2_IRRE2_10d,0,-0.0396205392292514,5.71603554633876,94.1,0.633219638117419,91.3542831705504,0
0.005,15,2,2,10,32,Scen_32_pU0.005_UonY15_EonC2_IRRE2_10d,0,-0.0487495129352685,7.03306805574643,91.3,0.52045036658742,75.0851162904514,0
