rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,0.853168069616228,0.0989129945310841,2.34707076956495,1.93344263519579,2.84918781507494,1.62619713850083,5.08450224862964,4.18932233638088,6.17096538306797,1224
2,0.964209661764615,0.098076234349366,2.62271400598047,2.16405499598092,3.17858315520683,1.65010521476723,5.20752770717235,4.26193527420856,6.36291803516503,1177
3,1.06696638072206,0.0935630197576697,2.9065487498626,2.41956127330921,3.49155267466053,1.6773890079834,5.35156482065628,4.4022084757095,6.50565419327854,1182
4,0.946064313801362,0.0991704309534886,2.57555311708761,2.12058891627123,3.12812813838704,1.56426418654144,4.7791570737134,3.89485182743052,5.86423908975578,1180
5,1.02600507833632,0.0947348749327823,2.78989811804374,2.31712718347668,3.35913003160466,1.59585443801737,4.93254182335157,4.02922591995356,6.0383729585937,1165
6,0.822895598991615,0.102477412534202,2.27708382226192,1.8627307592778,2.78360718948843,1.54048187957733,4.66683858344073,3.81600117436794,5.70738355904685,1186
7,1.02677844073642,0.0947369931071,2.79205655486772,2.31891022853888,3.36174281765607,1.6960107084722,5.45215371933292,4.50580056706059,6.59726939459902,1208
8,0.972501436612344,0.1007679996288,2.64455137014533,2.17059166386138,3.22200258380066,1.74828527932703,5.7447435950331,4.73475496336473,6.97017675212933,1148
9,0.881114543686753,0.0978871786474097,2.41358825743986,1.99223913368825,2.92405072159534,1.57249839695857,4.8186721230231,3.93645467570616,5.89860748873848,1194
10,0.936968118560702,0.0986354792708267,2.55223161236507,2.10359152010885,3.09655469747213,1.3060797968565,3.69167319942145,2.96422478041545,4.59764424795629,1181
11,0.937630612216133,0.100553920582998,2.55392300982363,2.09708555399652,3.11027975357338,1.69530932610819,5.44833101561353,4.48432062567041,6.61957815544435,1154
12,0.857893008490754,0.0999957676426638,2.35818677603044,1.93848144316921,2.86876353149562,1.57531804687347,4.83227826472832,3.97256664776862,5.87804190544718,1208
13,1.13637115951374,0.09132689463523,3.11544238406965,2.60484646583375,3.72612412123528,1.70199965839155,5.48490436801767,4.52479052051861,6.64874446449537,1190
14,1.04903281962138,0.0922863439439269,2.85488859011959,2.38251084678524,3.42092413681662,1.67249254422167,5.32542512570365,4.40118477328428,6.44375417765354,1229
15,1.05862408377181,0.094271068399441,2.88240231549069,2.39613299288397,3.46735474742842,1.65278365869651,5.22149447439779,4.28510657601759,6.36250325692127,1189
16,1.11481337700922,0.0949522389626834,3.0489991127506,2.53124280244696,3.67266055258196,1.84674986292737,6.33918279166445,5.19909925693388,7.72926933690308,1138
17,0.771369957949548,0.10308508648119,2.16272707036749,1.76707723330976,2.64696318459129,1.47788090691918,4.38364647654161,3.59636851791933,5.343266780239,1220
18,0.785676850807681,0.10381105503235,2.19389137545557,1.78999159041092,2.68892848049268,1.67038596887416,5.31421852433814,4.34212921981336,6.50393323062656,1150
19,1.06049057353193,0.0921774683801128,2.88778731385591,2.41048037971216,3.45960732153437,1.39979612552412,4.05437329934792,3.28517719199227,5.00367008833904,1186
20,1.02115823931326,0.0963710456844891,2.77640864802738,2.29854073979112,3.35362556225205,1.59048683672438,4.90613683460516,4.00754388495717,6.00621710724617,1164
21,1.16993088027238,0.0911967138080211,3.22176994297136,2.6944351908031,3.8523107183513,1.72600691539325,5.61817520967559,4.6267034036481,6.8221128377768,1183
22,0.887568284956359,0.100518173945847,2.42921530380191,1.99482491429184,2.95819796010532,1.44696696276261,4.25020391915366,3.45060458979723,5.23509225247122,1166
23,1.07742790009529,0.0935827411667684,2.93711527328215,2.4449119202343,3.52840773409972,1.58710836738425,4.88958956968381,3.98871865593421,5.99392642657097,1192
24,0.88409078237086,0.102921835097993,2.42078237257059,1.97855680456478,2.96184940550015,1.55569720378642,4.7383889965278,3.86102413265787,5.81512301166579,1129
25,0.858725342142162,0.103637661138525,2.36015039131861,1.92629652184256,2.89171983984751,1.69730250740662,5.45920135678307,4.45475830753918,6.69012265008049,1126
26,1.03893820083293,0.0953508739810986,2.8262145483723,2.34445724230871,3.4069670921213,1.62972500830755,5.10247138835075,4.18503484784513,6.22102687683556,1168
27,1.10753904815858,0.0914533820423878,3.02690016549259,2.53018826519413,3.62112366810621,1.62053151645619,5.05577683112186,4.1429642540303,6.16970791897197,1204
28,0.967215874843212,0.0963780060047057,2.63061030616033,2.17780710234524,3.17755901127552,1.58982407240597,4.90288629945829,3.99711128596919,6.0139166376968,1191
29,0.94146798317297,0.0965907575560021,2.56374218767219,2.12156405215678,3.0980794561297,1.74028877386664,5.69898890413634,4.69960512599566,6.9108943536162,1220
30,0.957929662962069,0.0985262260537498,2.60629497487298,2.14861147594768,3.1614712906865,1.69679453764284,5.45642895176799,4.45490863745552,6.68310381393074,1151
31,0.88276109802384,0.100356676454583,2.41756563523882,1.98588692224959,2.94307975706239,1.44854459073468,4.25691445171366,3.44927872158969,5.25365507164841,1185
32,0.959160136593342,0.0979808619915802,2.60950392597486,2.15355760776472,3.16198216157593,1.45140497463428,4.26910829249227,3.47378168811638,5.24652590442685,1200
33,0.943991155649999,0.0980605462726943,2.57021911916974,2.12080560031597,3.11486650146597,1.72083391213739,5.58918741265081,4.58237662442447,6.81720829475857,1176
34,0.972463406789081,0.0957883537911366,2.64445080023645,2.19179684199748,3.19058769538973,1.6149144914499,5.02745801444306,4.11982662986627,6.13504799055299,1183
35,0.967757599794602,0.0994403066387838,2.63203575946751,2.1659480850508,3.19842026082229,1.57739923008742,4.8423455934821,3.93813346591426,5.9541686562093,1142
36,0.993620378933463,0.0975434538702661,2.70099541944007,2.23097502848916,3.2700394054956,1.59283060212586,4.91764915419119,4.00947443678194,6.03153195886868,1142
37,1.038614394267,0.095000020160057,2.82529954969408,2.34531043833746,3.40352279809921,1.62391852213372,5.07292980817052,4.1761243982646,6.16232046375798,1186
38,1.03832213884237,0.0954279879069983,2.82447396122171,2.34265925862941,3.40538348811633,1.51535127506268,4.55101950575602,3.70702801096719,5.58716537358128,1172
39,0.762476422478018,0.103425124583579,2.14357805787857,1.75026447169122,2.62527575948481,1.45502951649061,4.28460993038451,3.47119087515209,5.2886409638148,1209
40,1.06668474062595,0.0939143881585872,2.90573026445789,2.41721468864324,3.49297412822097,1.74374692485858,5.71873098414066,4.72164328444848,6.92637755518003,1193
41,0.987722022635349,0.0953056130151311,2.68511087849042,2.22760374430427,3.23658121343273,1.61362938213333,5.02100133097068,4.12157384234416,6.11670573667819,1209
42,0.925947810258313,0.0979206300407238,2.52425964607636,2.08345360129387,3.05832909206737,1.72437981638082,5.60904131523074,4.61577530621898,6.81604766020055,1202
43,1.07703064376567,0.091705971625445,2.93594871737523,2.45294720449265,3.5140564196693,1.70330517539812,5.49206968015026,4.51149470705591,6.68577297108462,1251
44,1.03929945272922,0.0931360784079838,2.82723570817407,2.35550724136064,3.39343543896612,1.4104436882018,4.097773134382,3.34491332738538,5.02008363666285,1224
45,0.914359616954944,0.0990733438689619,2.49517687120882,2.05480187301856,3.0299308660204,1.672355866121,5.32469730645182,4.38528754831749,6.46534602188476,1172
46,1.09780959334153,0.0933095918811401,2.99759288024139,2.49659088145366,3.59913317893798,1.59631098085011,4.93479425409462,4.05176954596201,6.01026145589021,1177
47,0.985866199146105,0.0958472353467725,2.6801324076613,2.22111443983198,3.2340115366319,1.51850138299542,4.5653783124248,3.72525595105439,5.5949656639457,1191
48,1.09982424350934,0.0946337194880575,3.00363806866585,2.49514180083297,3.61576309792369,1.70180382963979,5.48383037120493,4.51448469952591,6.66131298292087,1161
